adres,postcode,huisnummer,straat,woonplaats,gemeente,objecttype,lat,lng
"Zorgvrij 1, 1391RM Abcoude","1391RM","1","Zorgvrij","Abcoude","De Ronde Venen","verblijfsobject",52.2746386,4.963132
"Zuster Claassenhof 1, 1391BL Abcoude","1391BL","1","Zuster Claassenhof","Abcoude","De Ronde Venen","verblijfsobject",52.27056853,4.96278964
"Dokter Koomansstraat 1A, 1391VZ Abcoude","1391VZ","1A","Dokter Koomansstraat","Abcoude","De Ronde Venen","verblijfsobject",52.2720907,4.96618928
"Dwarskade 1A, 1391HS Abcoude","1391HS","1A","Dwarskade","Abcoude","De Ronde Venen","verblijfsobject",52.26994996,4.92963804
"Hoogstraat 1A, 1391BP Abcoude","1391BP","1A","Hoogstraat","Abcoude","De Ronde Venen","verblijfsobject",52.2718976,4.97474504
"Jacob van Gaesbeeklaan 1A, 1391CE Abcoude","1391CE","1A","Jacob van Gaesbeeklaan","Abcoude","De Ronde Venen","verblijfsobject",52.26971836,4.97777709
"Kerkplein 1A, 1391GJ Abcoude","1391GJ","1A","Kerkplein","Abcoude","De Ronde Venen","verblijfsobject",52.27214168,4.97465836
"Koppeldijk 1A, 1391CW Abcoude","1391CW","1A","Koppeldijk","Abcoude","De Ronde Venen","verblijfsobject",52.26948755,4.97389258
"Lange Coupure 1A, 1391KN Abcoude","1391KN","1A","Lange Coupure","Abcoude","De Ronde Venen","verblijfsobject",52.26385633,4.98515877
"Oude Dijk 1A, 1391KP Abcoude","1391KP","1A","Oude Dijk","Abcoude","De Ronde Venen","verblijfsobject",52.26625171,4.98116624
"Polderweg 1A, 1391HR Abcoude","1391HR","1A","Polderweg","Abcoude","De Ronde Venen","verblijfsobject",52.26409341,4.95817313
"Torenlaan 1A, 1391VM Abcoude","1391VM","1A","Torenlaan","Abcoude","De Ronde Venen","verblijfsobject",52.27115632,4.97110335
"Velterslaan 1A, 1391HV Abcoude","1391HV","1A","Velterslaan","Abcoude","De Ronde Venen","verblijfsobject",52.27549315,5.01716066
"Dokter Koomansstraat 1B, 1391VZ Abcoude","1391VZ","1B","Dokter Koomansstraat","Abcoude","De Ronde Venen","verblijfsobject",52.27210457,4.96627682
"Jacob van Gaesbeeklaan 1B, 1391CE Abcoude","1391CE","1B","Jacob van Gaesbeeklaan","Abcoude","De Ronde Venen","verblijfsobject",52.26976802,4.97788036
"Koppeldijk 1B, 1391CW Abcoude","1391CW","1B","Koppeldijk","Abcoude","De Ronde Venen","verblijfsobject",52.26946637,4.97392605
"Torenlaan 1B, 1391VM Abcoude","1391VM","1B","Torenlaan","Abcoude","De Ronde Venen","verblijfsobject",52.27116022,4.97104986
"Dokter Koomansstraat 1C, 1391VZ Abcoude","1391VZ","1C","Dokter Koomansstraat","Abcoude","De Ronde Venen","verblijfsobject",52.27213403,4.9663435
"Jacob van Gaesbeeklaan 1C, 1391CE Abcoude","1391CE","1C","Jacob van Gaesbeeklaan","Abcoude","De Ronde Venen","verblijfsobject",52.26981455,4.97797128
"Koppeldijk 1C, 1391CW Abcoude","1391CW","1C","Koppeldijk","Abcoude","De Ronde Venen","verblijfsobject",52.26944291,4.97393778
"Torenlaan 1C, 1391VM Abcoude","1391VM","1C","Torenlaan","Abcoude","De Ronde Venen","verblijfsobject",52.27112489,4.97095018
"Dokter Koomansstraat 1D, 1391VZ Abcoude","1391VZ","1D","Dokter Koomansstraat","Abcoude","De Ronde Venen","verblijfsobject",52.27217883,4.96651518
"Jacob van Gaesbeeklaan 1D, 1391CE Abcoude","1391CE","1D","Jacob van Gaesbeeklaan","Abcoude","De Ronde Venen","verblijfsobject",52.26987942,4.97796498
"Dokter Koomansstraat 1E, 1391VZ Abcoude","1391VZ","1E","Dokter Koomansstraat","Abcoude","De Ronde Venen","verblijfsobject",52.27217181,4.96666067
"Dokter Koomansstraat 1F, 1391VZ Abcoude","1391VZ","1F","Dokter Koomansstraat","Abcoude","De Ronde Venen","verblijfsobject",52.27218769,4.96675653
"Dokter Koomansstraat 1G, 1391VZ Abcoude","1391VZ","1G","Dokter Koomansstraat","Abcoude","De Ronde Venen","verblijfsobject",52.27223456,4.96680768
"Dokter Koomansstraat 1H, 1391VZ Abcoude","1391VZ","1H","Dokter Koomansstraat","Abcoude","De Ronde Venen","verblijfsobject",52.27257303,4.96828624
"'t Markvelt 2, 1391CA Abcoude","1391CA","2","'t Markvelt","Abcoude","De Ronde Venen","verblijfsobject",52.2705961,4.97596293
"Abcoudermeer 2, 1391JL Abcoude","1391JL","2","Abcoudermeer","Abcoude","De Ronde Venen","verblijfsobject",52.27892939,4.96835668
"Achter de Kerken 2, 1391LN Abcoude","1391LN","2","Achter de Kerken","Abcoude","De Ronde Venen","verblijfsobject",52.27497904,4.97587042
"Amsterdamsestraatweg 2, 1391AB Abcoude","1391AB","2","Amsterdamsestraatweg","Abcoude","De Ronde Venen","verblijfsobject",52.27265354,4.97339254
"Angsteloord 2, 1391EE Abcoude","1391EE","2","Angsteloord","Abcoude","De Ronde Venen","verblijfsobject",52.26901763,4.97465395
"Baarslagstraat 2, 1391VL Abcoude","1391VL","2","Baarslagstraat","Abcoude","De Ronde Venen","verblijfsobject",52.27018057,4.96990593
"Bergvliet 2, 1391RN Abcoude","1391RN","2","Bergvliet","Abcoude","De Ronde Venen","verblijfsobject",52.27457511,4.96254229
"Beukenhof 2, 1391DM Abcoude","1391DM","2","Beukenhof","Abcoude","De Ronde Venen","verblijfsobject",52.26528318,4.97313927
"Blomswaard 2, 1391VC Abcoude","1391VC","2","Blomswaard","Abcoude","De Ronde Venen","verblijfsobject",52.26948106,4.97125033
"Botshol 2, 1391HN Abcoude","1391HN","2","Botshol","Abcoude","De Ronde Venen","verblijfsobject",52.26396613,4.93533076
"Bovenkamp 2, 1391LA Abcoude","1391LA","2","Bovenkamp","Abcoude","De Ronde Venen","verblijfsobject",52.27638419,4.97731098
"Brandweerplein 2, 1391CP Abcoude","1391CP","2","Brandweerplein","Abcoude","De Ronde Venen","verblijfsobject",52.26885093,4.97205182
"Burgemeester Bentinckstraat 2, 1391GE Abcoude","1391GE","2","Burgemeester Bentinckstraat","Abcoude","De Ronde Venen","verblijfsobject",52.26654124,4.96871825
"Burgemeester de Beaufortlaan 2, 1391CK Abcoude","1391CK","2","Burgemeester de Beaufortlaan","Abcoude","De Ronde Venen","verblijfsobject",52.26917176,4.97303504
"Burgemeester des Tombeweg 2, 1391CL Abcoude","1391CL","2","Burgemeester des Tombeweg","Abcoude","De Ronde Venen","verblijfsobject",52.26919092,4.97329899
"De Cleijen 2, 1391RL Abcoude","1391RL","2","De Cleijen","Abcoude","De Ronde Venen","verblijfsobject",52.27441129,4.96404676
"De Cleijne Cleij 2, 1391DR Abcoude","1391DR","2","De Cleijne Cleij","Abcoude","De Ronde Venen","verblijfsobject",52.26455349,4.97169939
"De Hilt 2, 1391DT Abcoude","1391DT","2","De Hilt","Abcoude","De Ronde Venen","verblijfsobject",52.26465659,4.96945265
"de Tourton Bruijnsstraat 2, 1391EM Abcoude","1391EM","2","de Tourton Bruijnsstraat","Abcoude","De Ronde Venen","verblijfsobject",52.26848045,4.97646657
"de Weert 2, 1391JK Abcoude","1391JK","2","de Weert","Abcoude","De Ronde Venen","verblijfsobject",52.27056926,4.96542669
"Delphine 2, 1391RC Abcoude","1391RC","2","Delphine","Abcoude","De Ronde Venen","verblijfsobject",52.27440861,4.9683823
"Dokter Koomansstraat 2, 1391XB Abcoude","1391XB","2","Dokter Koomansstraat","Abcoude","De Ronde Venen","verblijfsobject",52.27175333,4.96594548
"Dominee Bleekerhof 2, 1391BK Abcoude","1391BK","2","Dominee Bleekerhof","Abcoude","De Ronde Venen","verblijfsobject",52.27246824,4.96145459
"Dorpszicht 2, 1391LX Abcoude","1391LX","2","Dorpszicht","Abcoude","De Ronde Venen","verblijfsobject",52.27414527,4.97363428
"Dorreweerde 2, 1391RH Abcoude","1391RH","2","Dorreweerde","Abcoude","De Ronde Venen","verblijfsobject",52.27459036,4.96484076
"Doude van Troostwijkstraat 2, 1391ES Abcoude","1391ES","2","Doude van Troostwijkstraat","Abcoude","De Ronde Venen","verblijfsobject",52.26875824,4.97496575
"Dwarskade 2, 1391HS Abcoude","1391HS","2","Dwarskade","Abcoude","De Ronde Venen","verblijfsobject",52.27159011,4.92906325
"Elzenbosch 2, 1391RS Abcoude","1391RS","2","Elzenbosch","Abcoude","De Ronde Venen","verblijfsobject",52.27448242,4.96160066
"Fluitekruid 2, 1391TJ Abcoude","1391TJ","2","Fluitekruid","Abcoude","De Ronde Venen","verblijfsobject",52.27612543,4.97609069
"Folkert Postlaan 2, 1391AV Abcoude","1391AV","2","Folkert Postlaan","Abcoude","De Ronde Venen","verblijfsobject",52.27158737,4.96728139
"Garsten 2, 1391RP Abcoude","1391RP","2","Garsten","Abcoude","De Ronde Venen","verblijfsobject",52.27434371,4.96328618
"Groene Wetering 2, 1391DP Abcoude","1391DP","2","Groene Wetering","Abcoude","De Ronde Venen","verblijfsobject",52.26524,4.97228626
"Groothoeve 2, 1391DE Abcoude","1391DE","2","Groothoeve","Abcoude","De Ronde Venen","verblijfsobject",52.26500385,4.96765239
"Haagwinde 2, 1391XT Abcoude","1391XT","2","Haagwinde","Abcoude","De Ronde Venen","verblijfsobject",52.27708887,4.97132125
"Heinkuitenhof 2, 1391TS Abcoude","1391TS","2","Heinkuitenhof","Abcoude","De Ronde Venen","verblijfsobject",52.27176855,4.97214563
"Heinkuitenstraat 2, 1391VP Abcoude","1391VP","2","Heinkuitenstraat","Abcoude","De Ronde Venen","verblijfsobject",52.2720452,4.97270461
"Henk Oostveenstraat 2, 1391EX Abcoude","1391EX","2","Henk Oostveenstraat","Abcoude","De Ronde Venen","verblijfsobject",52.26727995,4.97201863
"Holendrecht 2, 1391VT Abcoude","1391VT","2","Holendrecht","Abcoude","De Ronde Venen","verblijfsobject",52.27332009,4.97027614
"Hollandse Kade 2, 1391JD Abcoude","1391JD","2","Hollandse Kade","Abcoude","De Ronde Venen","verblijfsobject",52.27907667,4.97159905
"Hoog en Groenland 2, 1391RA Abcoude","1391RA","2","Hoog en Groenland","Abcoude","De Ronde Venen","verblijfsobject",52.27499876,4.96740905
"Hoogstraat 2, 1391BS Abcoude","1391BS","2","Hoogstraat","Abcoude","De Ronde Venen","verblijfsobject",52.27175223,4.97427279
"Jacob van Gaesbeeklaan 2, 1391CE Abcoude","1391CE","2","Jacob van Gaesbeeklaan","Abcoude","De Ronde Venen","verblijfsobject",52.27030855,4.97860434
"Jan Trouwstraat 2, 1391TT Abcoude","1391TT","2","Jan Trouwstraat","Abcoude","De Ronde Venen","verblijfsobject",52.26800647,4.96880548
"Johan van Gorkumstraat 2, 1391GB Abcoude","1391GB","2","Johan van Gorkumstraat","Abcoude","De Ronde Venen","verblijfsobject",52.26672215,4.96961552
