adres,postcode,huisnummer,straat,woonplaats,gemeente,objecttype,lat,lng
"Veenderij 1a-GA, 1394LA Nederhorst den Berg",1394LA,1a-GA,Veenderij,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25725516,5.04487984
"Vreelandseweg 1a, 1394BL Nederhorst den Berg",1394BL,1a,Vreelandseweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25295417,5.04586753
"Ankeveensepad 1b, 1394GW Nederhorst den Berg",1394GW,1b,Ankeveensepad,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26392825,5.04606235
"Blijklaan 1B, 1394KA Nederhorst den Berg",1394KA,1B,Blijklaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26162713,5.04800805
"George Hendrik Breitnerlaan 1b-GA, 1394ET Nederhorst den Berg",1394ET,1b-GA,George Hendrik Breitnerlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26478506,5.04131792
"Hendrik Willem Mesdaglaan 1b-GA, 1394GC Nederhorst den Berg",1394GC,1b-GA,Hendrik Willem Mesdaglaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26583877,5.04186936
"Middenweg 1b, 1394AC Nederhorst den Berg",1394AC,1b,Middenweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.24953831,5.05907197
"Rembrandt van Rijnhof 1b-GA, 1394EH Nederhorst den Berg",1394EH,1b-GA,Rembrandt van Rijnhof,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26375102,5.04099201
"Slotlaan 1B-1, 1394BK Nederhorst den Berg",1394BK,1B-1,Slotlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26103313,5.0426466
"Slotlaan 1B-2, 1394BK Nederhorst den Berg",1394BK,1B-2,Slotlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26100204,5.04262788
"Slotlaan 1B-3, 1394BK Nederhorst den Berg",1394BK,1B-3,Slotlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26096833,5.04259864
"Sniplaan 1b, 1394BA Nederhorst den Berg",1394BA,1b,Sniplaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25020906,5.09468593
"Spiegelpolder 1b, 1394HX Nederhorst den Berg",1394HX,1b,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2733294,5.0528403
"Veenderij 1b-GA, 1394LA Nederhorst den Berg",1394LA,1b-GA,Veenderij,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25729107,5.04486491
